entity_id,state,last_changed
sensor.153931628473058_total_energy_consumption,1357.52,2026-03-22T18:02:30.219Z
sensor.153931628473058_total_energy_consumption,1357.53,2026-03-22T18:03:03.465Z
sensor.153931628473058_total_energy_consumption,1357.54,2026-03-22T18:03:36.821Z
sensor.153931628473058_total_energy_consumption,1357.55,2026-03-22T18:04:10.201Z
sensor.153931628473058_total_energy_consumption,1357.56,2026-03-22T18:04:43.371Z
sensor.153931628473058_total_energy_consumption,1357.57,2026-03-22T18:05:16.611Z
sensor.153931628473058_total_energy_consumption,1357.58,2026-03-22T18:05:49.805Z
sensor.153931628473058_total_energy_consumption,1357.59,2026-03-22T18:06:23.569Z
sensor.153931628473058_total_energy_consumption,1357.6,2026-03-22T18:06:56.893Z
sensor.153931628473058_total_energy_consumption,1357.61,2026-03-22T18:07:30.173Z
sensor.153931628473058_total_energy_consumption,1357.62,2026-03-22T18:08:03.371Z
sensor.153931628473058_total_energy_consumption,1357.64,2026-03-22T18:08:36.612Z
sensor.153931628473058_total_energy_consumption,1357.65,2026-03-22T18:09:09.918Z
sensor.153931628473058_total_energy_consumption,1357.66,2026-03-22T18:09:43.256Z
sensor.153931628473058_total_energy_consumption,1357.67,2026-03-22T18:10:16.420Z
sensor.153931628473058_total_energy_consumption,1357.68,2026-03-22T18:10:49.714Z
sensor.153931628473058_total_energy_consumption,1357.69,2026-03-22T18:11:23.005Z
sensor.153931628473058_total_energy_consumption,1357.7,2026-03-22T18:11:56.200Z
sensor.153931628473058_total_energy_consumption,1357.71,2026-03-22T18:12:29.494Z
sensor.153931628473058_total_energy_consumption,1357.72,2026-03-22T18:13:02.691Z
sensor.153931628473058_total_energy_consumption,1357.73,2026-03-22T18:13:35.907Z
sensor.153931628473058_total_energy_consumption,1357.74,2026-03-22T18:14:09.237Z
sensor.153931628473058_total_energy_consumption,1357.75,2026-03-22T18:14:42.514Z
sensor.153931628473058_total_energy_consumption,1357.76,2026-03-22T18:15:15.794Z
sensor.153931628473058_total_energy_consumption,1357.77,2026-03-22T18:15:48.980Z
sensor.153931628473058_total_energy_consumption,1357.78,2026-03-22T18:16:22.147Z
sensor.153931628473058_total_energy_consumption,1357.79,2026-03-22T18:16:56.332Z
sensor.153931628473058_total_energy_consumption,1357.8,2026-03-22T18:17:30.538Z
sensor.153931628473058_total_energy_consumption,1357.81,2026-03-22T18:18:03.857Z
sensor.153931628473058_total_energy_consumption,1357.82,2026-03-22T18:18:37.124Z
sensor.153931628473058_total_energy_consumption,1357.83,2026-03-22T18:19:10.536Z
sensor.153931628473058_total_energy_consumption,1357.84,2026-03-22T18:19:43.735Z
sensor.153931628473058_total_energy_consumption,1357.85,2026-03-22T18:20:17.059Z
sensor.153931628473058_total_energy_consumption,1357.86,2026-03-22T18:20:50.348Z
sensor.153931628473058_total_energy_consumption,1357.87,2026-03-22T18:21:23.737Z
sensor.153931628473058_total_energy_consumption,1357.88,2026-03-22T18:21:57.890Z
sensor.153931628473058_total_energy_consumption,1357.89,2026-03-22T18:22:31.039Z
sensor.153931628473058_total_energy_consumption,1357.9,2026-03-22T18:23:04.289Z
sensor.153931628473058_total_energy_consumption,1357.91,2026-03-22T18:23:37.587Z
sensor.153931628473058_total_energy_consumption,1357.92,2026-03-22T18:24:10.791Z
sensor.153931628473058_total_energy_consumption,1357.94,2026-03-22T18:24:43.981Z
sensor.153931628473058_total_energy_consumption,1357.95,2026-03-22T18:25:18.281Z
sensor.153931628473058_total_energy_consumption,1357.96,2026-03-22T18:25:51.587Z
sensor.153931628473058_total_energy_consumption,1357.97,2026-03-22T18:26:25.791Z
sensor.153931628473058_total_energy_consumption,1357.98,2026-03-22T18:26:59.159Z
sensor.153931628473058_total_energy_consumption,1357.99,2026-03-22T18:27:32.477Z
sensor.153931628473058_total_energy_consumption,1358.0,2026-03-22T18:28:05.751Z
sensor.153931628473058_total_energy_consumption,1358.01,2026-03-22T18:28:38.917Z
sensor.153931628473058_total_energy_consumption,1358.02,2026-03-22T18:29:12.180Z
sensor.153931628473058_total_energy_consumption,1358.03,2026-03-22T18:29:45.593Z
sensor.153931628473058_total_energy_consumption,1358.04,2026-03-22T18:30:18.860Z
sensor.153931628473058_total_energy_consumption,1358.05,2026-03-22T18:30:52.106Z
sensor.153931628473058_total_energy_consumption,1358.06,2026-03-22T18:31:26.272Z
sensor.153931628473058_total_energy_consumption,1358.07,2026-03-22T18:31:59.522Z
sensor.153931628473058_total_energy_consumption,1358.08,2026-03-22T18:32:33.613Z
sensor.153931628473058_total_energy_consumption,1358.09,2026-03-22T18:33:06.890Z
sensor.153931628473058_total_energy_consumption,1358.1,2026-03-22T18:34:13.478Z
sensor.153931628473058_total_energy_consumption,1358.11,2026-03-22T18:34:46.780Z
sensor.153931628473058_total_energy_consumption,1358.12,2026-03-22T18:35:20.707Z
sensor.153931628473058_total_energy_consumption,1358.13,2026-03-22T18:35:53.945Z
sensor.153931628473058_total_energy_consumption,1358.14,2026-03-22T18:36:27.196Z
sensor.153931628473058_total_energy_consumption,1358.15,2026-03-22T18:37:00.441Z
sensor.153931628473058_total_energy_consumption,1358.16,2026-03-22T18:37:33.761Z
sensor.153931628473058_total_energy_consumption,1358.17,2026-03-22T18:38:07.916Z
sensor.153931628473058_total_energy_consumption,1358.18,2026-03-22T18:39:14.382Z
sensor.153931628473058_total_energy_consumption,1358.19,2026-03-22T18:39:47.652Z
sensor.153931628473058_total_energy_consumption,1358.2,2026-03-22T18:40:20.852Z
sensor.153931628473058_total_energy_consumption,1358.21,2026-03-22T18:40:54.054Z
sensor.153931628473058_total_energy_consumption,1358.22,2026-03-22T18:41:27.312Z
sensor.153931628473058_total_energy_consumption,1358.23,2026-03-22T18:42:00.562Z
sensor.153931628473058_total_energy_consumption,1358.24,2026-03-22T18:42:33.876Z
sensor.153931628473058_total_energy_consumption,1358.25,2026-03-22T18:43:07.202Z
sensor.153931628473058_total_energy_consumption,1358.26,2026-03-22T18:43:40.445Z
sensor.153931628473058_total_energy_consumption,1358.28,2026-03-22T18:44:47.045Z
sensor.153931628473058_total_energy_consumption,1358.29,2026-03-22T18:45:20.813Z
sensor.153931628473058_total_energy_consumption,1358.3,2026-03-22T18:45:54.161Z
sensor.153931628473058_total_energy_consumption,1358.31,2026-03-22T18:46:27.359Z
sensor.153931628473058_total_energy_consumption,1358.32,2026-03-22T18:47:00.692Z
sensor.153931628473058_total_energy_consumption,1358.33,2026-03-22T18:47:33.970Z
sensor.153931628473058_total_energy_consumption,1358.34,2026-03-22T18:48:07.248Z
sensor.153931628473058_total_energy_consumption,1358.35,2026-03-22T18:48:40.518Z
sensor.153931628473058_total_energy_consumption,1358.36,2026-03-22T18:49:14.903Z
sensor.153931628473058_total_energy_consumption,1358.37,2026-03-22T18:49:49.063Z
sensor.153931628473058_total_energy_consumption,1358.39,2026-03-22T18:50:56.077Z
sensor.153931628473058_total_energy_consumption,1358.4,2026-03-22T18:51:29.253Z
sensor.153931628473058_total_energy_consumption,1358.41,2026-03-22T18:52:02.552Z
sensor.153931628473058_total_energy_consumption,1358.42,2026-03-22T18:52:35.754Z
sensor.153931628473058_total_energy_consumption,1358.43,2026-03-22T18:53:09.939Z
sensor.153931628473058_total_energy_consumption,1358.44,2026-03-22T18:53:43.195Z
sensor.153931628473058_total_energy_consumption,1358.45,2026-03-22T18:54:16.447Z
sensor.153931628473058_total_energy_consumption,1358.46,2026-03-22T18:55:22.926Z
sensor.153931628473058_total_energy_consumption,1358.47,2026-03-22T18:55:56.186Z
sensor.153931628473058_total_energy_consumption,1358.49,2026-03-22T18:57:03.225Z
sensor.153931628473058_total_energy_consumption,1358.5,2026-03-22T18:57:36.556Z
sensor.153931628473058_total_energy_consumption,1358.51,2026-03-22T18:58:09.874Z
sensor.153931628473058_total_energy_consumption,1358.52,2026-03-22T18:58:44.080Z
sensor.153931628473058_total_energy_consumption,1358.53,2026-03-22T18:59:15.645Z
sensor.153931628473058_total_energy_consumption,1358.54,2026-03-22T19:03:10.258Z
sensor.153931628473058_total_energy_consumption,1358.55,2026-03-22T19:03:43.492Z
sensor.153931628473058_total_energy_consumption,1358.56,2026-03-22T19:04:16.746Z
sensor.153931628473058_total_energy_consumption,1358.57,2026-03-22T19:04:49.972Z
sensor.153931628473058_total_energy_consumption,1358.58,2026-03-22T19:05:56.465Z
sensor.153931628473058_total_energy_consumption,1358.59,2026-03-22T19:06:29.579Z
sensor.153931628473058_total_energy_consumption,1358.6,2026-03-22T19:07:02.843Z
sensor.153931628473058_total_energy_consumption,1358.61,2026-03-22T19:07:36.105Z
sensor.153931628473058_total_energy_consumption,1358.62,2026-03-22T19:08:09.319Z
sensor.153931628473058_total_energy_consumption,1358.63,2026-03-22T19:08:42.429Z
sensor.153931628473058_total_energy_consumption,1358.64,2026-03-22T19:09:48.928Z
sensor.153931628473058_total_energy_consumption,1358.65,2026-03-22T19:10:22.172Z
sensor.153931628473058_total_energy_consumption,1358.66,2026-03-22T19:10:55.435Z
sensor.153931628473058_total_energy_consumption,1358.67,2026-03-22T19:11:29.762Z
sensor.153931628473058_total_energy_consumption,1358.68,2026-03-22T19:12:36.319Z
sensor.153931628473058_total_energy_consumption,1358.69,2026-03-22T19:13:09.645Z
sensor.153931628473058_total_energy_consumption,1358.7,2026-03-22T19:14:16.127Z
sensor.153931628473058_total_energy_consumption,1358.71,2026-03-22T19:14:49.396Z
sensor.153931628473058_total_energy_consumption,1358.72,2026-03-22T19:15:22.589Z
sensor.153931628473058_total_energy_consumption,1358.73,2026-03-22T19:16:29.259Z
sensor.153931628473058_total_energy_consumption,1358.74,2026-03-22T19:17:02.649Z
sensor.153931628473058_total_energy_consumption,1358.75,2026-03-22T19:18:09.078Z
sensor.153931628473058_total_energy_consumption,1358.76,2026-03-22T19:19:16.304Z
sensor.153931628473058_total_energy_consumption,1358.77,2026-03-22T19:19:49.517Z
sensor.153931628473058_total_energy_consumption,1358.78,2026-03-22T19:20:56.527Z
sensor.153931628473058_total_energy_consumption,1358.79,2026-03-22T19:21:30.733Z
sensor.153931628473058_total_energy_consumption,1358.8,2026-03-22T19:22:37.834Z
sensor.153931628473058_total_energy_consumption,1358.81,2026-03-22T19:23:11.073Z
sensor.153931628473058_total_energy_consumption,1358.82,2026-03-22T19:24:17.585Z
sensor.153931628473058_total_energy_consumption,1358.83,2026-03-22T19:24:51.347Z
sensor.153931628473058_total_energy_consumption,1358.84,2026-03-22T19:25:24.653Z
sensor.153931628473058_total_energy_consumption,1358.85,2026-03-22T19:26:31.170Z
sensor.153931628473058_total_energy_consumption,1358.86,2026-03-22T19:27:04.383Z
sensor.153931628473058_total_energy_consumption,1358.87,2026-03-22T19:28:10.953Z
sensor.153931628473058_total_energy_consumption,1358.88,2026-03-22T19:29:17.534Z
sensor.153931628473058_total_energy_consumption,1358.89,2026-03-22T19:29:50.846Z
sensor.153931628473058_total_energy_consumption,1358.9,2026-03-22T19:30:57.241Z
sensor.153931628473058_total_energy_consumption,1358.91,2026-03-22T19:32:05.430Z
sensor.153931628473058_total_energy_consumption,1358.92,2026-03-22T19:33:11.838Z
sensor.153931628473058_total_energy_consumption,1358.93,2026-03-22T19:34:18.427Z
sensor.153931628473058_total_energy_consumption,1358.94,2026-03-22T19:34:52.642Z
sensor.153931628473058_total_energy_consumption,1358.95,2026-03-22T19:35:59.041Z
sensor.153931628473058_total_energy_consumption,1358.96,2026-03-22T19:36:32.235Z
sensor.153931628473058_total_energy_consumption,1358.97,2026-03-22T19:37:38.703Z
sensor.153931628473058_total_energy_consumption,1358.98,2026-03-22T19:38:11.953Z
sensor.153931628473058_total_energy_consumption,1358.99,2026-03-22T19:38:46.117Z
